Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,"Sensor, norman",Modem_Type,Deployment_Ship,Deployment_Date,,Dep-date norman,"Dep-time,norman",Recovery_Date,,Recovery date,Recovery time,Recovery_Ship,Deployed_Days,,inclination,Comments,,,,,,,,,,,,
1999-06-07,40018-1999-06-07,306,S,40018,,B-1531,Motorola,R/V Longhorn,6/7/1999,,6/7/1999,,12/14/1999,,12/14/1999,,R/V Longhorn,190,,,,,,,,,,,,,,,
1999-06-08,,,S,,,B-1531,,,6/8/1999,4:00:00,6/8/1999,4:00:00,12/14/1999,20:00:00,12/14/1999,20:00:00,,,3.22,3.22,Recovered_on_the_beach_south_of_Corpus_Christi.,Recovered_on_the_beach_south_of_Corpus_Christi.,28.43642,92.81115,3.22,,Recovered_on_the_beach_south_of_Corpus_Christi.,,,,,,237
1999-08-14,03-1999-08-14,189,B,System 3,,B-1558,Sat,R/V Gyre,8/14/1999,,8/14/1999,,2/20/2000,,2/20/2000,,R/V Gyre,190,,,,,,,,,,,,,,,
1999-08-14,50040-1999-08-14,238,F,50040,,B-1560,Motorola,R/V Gyre,8/14/1999,,8/14/1999,,12/1/1999,,12/1/1999,,R/V Gyre, ,,,,,,,,,,,,,,,
1999-08-15,40014-1999-08-15,288,P,40014,,Unknown,Motorola,R/V Gyre,8/15/1999,,8/15/1999,0:00:00,2/19/2000,,2/19/2000,16:30:00,R/V Gyre,188,,3.12,-,,,,,,,,,,,,
1999-08-15,50039-1999-08-15,291,R,50039,,B-1559,Motorola,R/V Gyre,8/15/1999,,8/15/1999,0:00:00,2/19/2000,,2/19/2000,9:30:00,R/V Gyre,188,,3.65,Sensor_failed_during_postcruise_calibration_test._,,,,,,,,,,,,
1999-08-16,,,F,,,B-1560,,,8/16/1999,4:00:00,8/16/1999,4:00:00,12/1/1999,0:00:00,12/1/1999,0:00:00,,,4.05,4.05,No_data_in_the_record,No_data_in_the_record,28.836,94.2355,4.05,,No_data_in_the_record,,,,,,111
1999-08-16,,,B,,,B-1558,,,8/16/1999,4:30:00,8/16/1999,4:30:00,2/20/2000,0:00:00,2/20/2000,0:00:00,,,4.43,4.43,-,-,28.98283,94.9162,4.43,,-,,,,,,28
1999-09-29,40016-1999-09-29,223,D,40016,,B-1561,Motorola,R/V Longhorn,9/29/1999,,9/29/1999,,2/6/2000,,2/6/2000,,R/V Longhorn,130,,,,,,,,,,,,,,,
1999-10-01,,,D,,,B-1561,,,10/1/1999,16:00:00,10/1/1999,16:00:00,2/7/2000,0:00:00,2/7/2000,0:00:00,,,5.5,5.5,Data_stops_on_01/01/2000,Data_stops_on_01/01/2000,27.93295,96.8076,5.5,,Data_stops_on_01/01/2000,,,,,,77
1999-12-01,40015-1999-12-01,236,F,40015,,B-1539,Motorola,R/V Gyre,12/1/1999,,12/1/1999,8:00:00,2/18/2000,,2/18/2000,0:00:00,R/V Gyre,79,,3.95,-,,,,,,,,,,,,
1999-12-14,80086-1999-12-14,304,S,80086,,B-1529,Motorola,R/V Longhorn,12/14/1999,,12/14/1999,20:00:00,6/2/2000,,6/4/2000,16:00:00,R/V Longhorn,171,,3.1,-,,,,,,,,,,,,
1999-12-15,04-1999-12-15,202,B2,System 4,,DCS3500,Sat,R/V Longhorn,12/15/1999,,12/15/1999,,1/13/2000,,1/13/2000,,R/V Gyre,29,,,,,,,,,,,,,,,
2000-02-06,40018-2000-02-06,220,D,40018,,B-1531,Motorola,R/V Longhorn,2/6/2000,,2/6/2000,,7/14/2000,,7/14/2000,,R/V Longhorn,159,,,,,,,,,,,,,,,
2000-02-07,,,D,,,B-1531,,,2/7/2000,0:00:00,2/7/2000,0:00:00,7/14/2000,1:30:00,7/14/2000,1:30:00,,,5.42,5.42,-,-,27.93295,96.8076,5.42,,-,,,,,,78
2000-02-07,02-2000-02-07,258,J,System 2,,B-1433,Sat,R/V Longhorn,2/7/2000,,2/7/2000,15:00:00,4/7/2000,,4/17/2000,0:00:00,R/V Longhorn,60,,5.57,Recovered_drifting.,,,,,,,,,,,,
2000-02-18,,,F,,,Unknown,,,2/18/2000,0:00:00,2/18/2000,0:00:00,9/28/2000,7:00:00,9/28/2000,7:00:00,,,3.95,3.95,-.,-.,28.836,94.2355,3.95,,-.,,,,,,113
2000-02-19,50040-2000-02-19,292,R,50040,,B-1560,Motorola,R/V Gyre,2/19/2000,,2/19/2000,9:30:00,10/8/2002,,6/2/2000,11:30:00,Truck,962,,3.53,Buoy_lost._Last_communicated_on_4/11/2000.,,,,,,,,,,,,
2000-02-20,05-1999-02-20,184,B,System 5,,B-1508,Sat,R/V Gyre,2/20/2000,,2/20/2000,0:00:00,7/2/2000,,6/2/2000,1:00:00,R/V Gyre,133,,4.33,-,,,,,,,,,,,,
2000-04-17,,,J,,,Unknown,,,4/17/2000,0:00:00,4/17/2000,0:00:00,9/25/2000,6:00:00,9/25/2000,6:00:00,,,5.57,5.57,Recovered_drifting.,Recovered_drifting.,26.18833,97.05067,5.57,,Recovered_drifting.,,,,,,146
2000-06-01,40016-2000-06-01,294,R,40016,,B-1561,Motorola,R/V Longhorn,6/1/2000,,6/1/2000,,9/7/2000,,9/7/2000,,R/V Longhorn,98,,,,,,,,,,,,,,,
2000-06-02,,,R,,,B-1561,,,6/2/2000,11:30:00,6/2/2000,11:30:00,9/8/2000,13:30:00,9/8/2000,13:30:00,,,3.53,3.53,Data_ceases_on_7/23/2000.,Data_ceases_on_7/23/2000.,29.64728,93.63947,3.53,,Data_ceases_on_7/23/2000.,,,,,,209
2000-06-02,04-2000-06-02,201,B2,System 4,,DCS3500,Sat,R/V Longhorn,6/2/2000,,6/2/2000,,11/20/2000,,11/20/2000,,R/V Gyre,171,,,,,,,,,,,,,,,
2000-06-02,,,B,,,DCS3500,,,6/2/2000,1:00:00,6/2/2000,1:00:00,11/20/2000,4:30:00,11/20/2000,4:30:00,,,4.33,4.33,Data_is_from_Buoy_B2,Data_is_from_Buoy_B2,28.98283,94.9162,4.33,,Data_is_from_Buoy_B2,,,,,,30
2000-06-04,,,S,,,Unknown,,,6/4/2000,16:00:00,6/4/2000,16:00:00,7/20/2000,0:00:00,7/20/2000,0:00:00,,,3.1,3.1,-,-,28.43642,92.81115,3.1,,-,,,,,,239
2000-07-14,40015-2000-07-14,222,D,40015,,B-1539,Motorola,R/V Longhorn,7/14/2000,,7/14/2000,1:30:00,11/30/2000,,11/30/2000,20:00:00,missing,139,,5.42,Lost_on_11/30/2000,,,,,,,,,,,,
2000-07-20,40018-2000-07-20,305,S,40018,,B-1531,Motorola,R/V Longhorn,7/20/2000,,7/20/2000,0:00:00,12/27/2000,,9/7/2000,13:00:00,R/V Longhorn,160,,3.1,Recovered_on_San_Jose_Island.,,,,,,,,,,,,
2000-09-07,,,S,,,B-1529,,,9/7/2000,13:00:00,9/7/2000,13:00:00,12/19/2000,0:00:00,12/19/2000,0:00:00,,,3.1,3.1,Went_adrift_on_12/17/2000.,Went_adrift_on_12/17/2000.,28.43642,92.81115,3.1,,Went_adrift_on_12/17/2000.,,,,,,241
2000-09-07,80086-2000-09-07,303,S,80086,,B-1529,Motorola,R/V Longhorn,9/7/2000,,9/7/2000,,12/19/2000,,12/19/2000,,Coast Guard,103,,,,,,,,,,,,,,,
2000-09-07,40014-2000-09-07,290,R,40014,,B-1557,Motorola,R/V Longhorn,9/7/2000,,9/7/2000,,9/25/2000,,9/25/2000,,R/V Gyre,18,,,,,,,,,,,,,,,
2000-09-08,,,R,,,B-1557,,,9/8/2000,13:30:00,9/8/2000,13:30:00,9/25/2000,14:30:00,9/25/2000,14:30:00,,,3.53,3.53,Lost_communications._Broken_cellular_antenna.,Lost_communications._Broken_cellular_antenna.,29.64728,93.63947,3.53,,Lost_communications._Broken_cellular_antenna.,,,,,,210
2000-10-21,02-2000-10-21,257,J,System 2,,B-1433,Sat,R/V Longhorn,10/21/2000,,10/21/2000,13:00:00,4/26/2001,,4/27/2001,13:30:00,R/V Longhorn,187,,5.57,Velocity_data_ceases_after_3/28/2001.,,,,,,,,,,,,
2000-11-20,,,B,,,B-1558,,,11/20/2000,20:00:00,11/20/2000,20:00:00,5/2/2001,0:00:00,5/2/2001,0:00:00,,,4.33,4.33,-,-,28.98283,94.9162,4.33,,-,,,,,,31
2000-11-21,03-2000-11-21,188,B,System 3,,B-1557,Sat,R/V Gyre,11/21/2000,,11/21/2000,5:30:00,5/2/2001,,3/25/2001,13:00:00,R/V Longhorn,162,,3.95,-,,,,,,,,,,,,
2000-11-21,40014-2000-11-21,237,F,40014,,B-1561,Motorola,R/V Gyre,11/21/2000,,11/21/2000,8:30:00,3/26/2001,,3/27/2001,5:00:00,R/V Gyre,125,,3.53,Data_ceases_on_12/24/2000.,,,,,,,,,,,,
2000-11-22,40016-2000-11-22,293,R,40016,,B-1561,Motorola,R/V Gyre,11/22/2000,,11/22/2000,,3/26/2001,,3/26/2001,,R/V Gyre,124,,,,,,,,,,,,,,,
2000-11-30,80085-2000-11-30,219,D,80085,,B-1528,Motorola,R/V Longhorn,11/30/2000,,11/30/2000,20:00:00,4/4/2001,,4/5/2001,3:00:00,Truck,125,,5.42,Recovered_on_shore._Mooring_cut,,,,,,,,,,,,
2001-02-19,06-2001-02-19,310,T,System 6,,1500,Sat,R/V Pelican,2/19/2001,,2/19/2001,,5/23/2001,,5/23/2001,,R/V Pelican,93,,,,,,,,,,,,,,,
2001-02-19,05-2001-02-19,313,U,System 5,,ADCP-1033,Sat,R/V Pelican,2/19/2001,,2/19/2001,,3/24/2001,,3/24/2001,,R/V Gyre,33,,,,,,,,,,,,,,,
2001-03-21,80086-2001-03-21,240,F,80086,16,DCS/16,Motorola,R/V Gyre,3/21/2001,,3/21/2001,,6/19/2001,,6/19/2001,,R/V Gyre,90,,,,,,,,,,,,,,,
2001-03-21,07-2001-03-21,314,V,System 7,,ADCP003,Sat,R/V Gyre,3/21/2001,,3/21/2001,0:00:00,9/23/2001,,9/23/2001,22:30:00,R/V Gyre,186,,4.75,Data_from_first_bin_of_ADCP,,,,,,,,,,,,
2001-03-26,50039-2001-03-26,296,R,50039,17,DCS/17,Motorola,R/V Gyre,3/26/2001,,3/26/2001,,9/23/2001,,9/23/2001,,R/V Gyre,181,,,,,,,,,,,,,,,
2001-03-27,,,R,,,DCS3900,,,3/27/2001,5:00:00,3/27/2001,5:00:00,9/23/2001,0:00:00,9/23/2001,0:00:00,,,3.43,3.43,-,-,29.64728,93.63947,3.43,,-,,,,,,212
2001-03-27,40018-2001-03-27,307,S,40018,20,DCS3500,Motorola,R/V Gyre,3/27/2001,,3/27/2001,12:00:00,7/26/2001,,7/26/2001,0:00:00,R/V Longhorn,121,,3,Recovered_with_bent_hull._Site_discontinued_in_fav,,,,,,,,,,,,
2001-03-28,,,F,,,DCS3900,,,3/28/2001,13:00:00,3/28/2001,13:00:00,6/19/2001,0:00:00,6/19/2001,0:00:00,,,3.83,3.83,Stopped_communicating._Data_ceases_after_5/18/2001,Stopped_communicating._Data_ceases_after_5/18/2001,28.836,94.2355,3.83,,Stopped_communicating._Data_ceases_after_5/18/2001,,,,,,115
2001-04-17,01-2001-04-17,268,J,System 1,,,Sat,R/V Longhorn,4/17/2001,,4/17/2001,,9/25/2001,,9/25/2001,,R/V Longhorn,161,,,,,,,,,,,,,,,
2001-04-26,004-04-10-01,102,J,System 4,,DCS,Sat,R/V Longhorn,4/26/2001,,4/26/2001,,5/10/2001,,5/10/2001,,R/V Longhorn,14,,,,,,,,,,,,,,,
2001-04-27,,,J,,,DCS3900,,,4/27/2001,13:30:00,4/27/2001,13:30:00,5/10/2001,13:30:00,5/10/2001,13:30:00,,,5.48,5.48,Hit_by_ship._Data_ceases_on_4/30/2001.,Hit_by_ship._Data_ceases_on_4/30/2001.,26.18833,97.05067,5.48,,Hit_by_ship._Data_ceases_on_4/30/2001.,,,,,,148
2001-05-10,03-2001-05-10,265,J,System 3,45,DCS3900,Sat,R/V Longhorn,5/10/2001,,5/10/2001,13:30:00,11/27/2001,,11/27/2001,14:00:00,R/V Longhorn,201,,5.48,RSM_clock_error._Since_repaired.,,,,,,,,,,,,
2001-05-11,02-2001-05-11,181,B,System 2,,B-1433,Sat,R/V Longhorn,5/11/2001,,5/11/2001,13:00:00,7/8/2001,,7/9/2001,6:00:00,R/V Glorita,58,,4.23,Barnacles_on_two_poles.,,,,,,,,,,,,
2001-05-11,80085-2001-05-11,218,D,80085,,B-1528,Motorola,R/V Longhorn,5/11/2001,,5/11/2001,,8/16/2001,,8/16/2001,,R/V Longhorn,97,,,,,,,,,,,,,,,
2001-05-12,,,D,,,B-1528,,,5/12/2001,1:00:00,5/12/2001,1:00:00,8/16/2001,0:00:00,8/16/2001,0:00:00,,,5.33,5.33,Recovered_6_nmi_off_location,Recovered_6_nmi_off_location,27.93295,96.8076,5.33,,Recovered_6_nmi_off_location,,,,,,81
2001-05-23,06-2001-05-23,309,T,System 6,,1500,Sat,R/V Pelican,5/23/2001,,5/23/2001,,7/26/2001,,7/26/2001,,Tommy Munroe,64,,,,,,,,,,,,,,,
2001-05-23,05-2001-05-23,312,U,System 5,,ADCP-1033,Sat,R/V Pelican,5/23/2001,,5/23/2001,,7/26/2001,,7/26/2001,,Tommy Munroe,64,,,,,,,,,,,,,,,
2001-07-08,80086-2001-07-08,239,F,80086,16,DCS/16,Motorola,R/V Glorita,7/8/2001,,7/8/2001,,9/23/2001,,9/23/2001,,R/V Gyre,77,,,,,,,,,,,,,,,
2001-07-09,,,F,,,DCS3900,,,7/9/2001,2:30:00,7/9/2001,2:30:00,9/22/2001,18:00:00,9/22/2001,18:00:00,,,3.83,3.83,New_top_design._Data_ceases_after_7/30/2001,New_top_design._Data_ceases_after_7/30/2001,28.836,94.2355,3.83,,New_top_design._Data_ceases_after_7/30/2001,,,,,,116
2001-07-17,04-2001-07-17,324,X,System 4,,DCS43/ADCP,Motorola,USNS Sumner,7/17/2001,,7/17/2001,,11/26/2001,,11/26/2001,,USNS Salvor,132,,,,,,,,,,,,,,,
2001-07-17,40014-2001-07-17,325,Y,40014,42,DCS/42,Motorola,USNS Sumner,7/17/2001,,7/17/2001,,11/26/2001,,11/26/2001,,USNS Salvor,132,,,,,,,,,,,,,,,
2001-07-26,02-2001-07-26,198,B,System 2,44,DCS/44,Sat,R/V Longhorn,7/26/2001,,7/26/2001,,1/21/2002,,1/21/2002,,R/V Gyre,179,,,,,,,,,,,,,,,
2001-07-27,,,B,,,DCS3900,,,7/27/2001,9:00:00,7/27/2001,9:00:00,1/22/2002,13:00:00,1/22/2002,13:00:00,,,4.23,4.23,-,-,28.98283,94.9162,4.23,,-,,,,,,33
2001-08-16,40016-2001-08-16,228,D,40016,72,DCS-72,Motorola,R/V Longhorn,8/16/2001,,8/16/2001,0:00:00,12/11/2001,,12/11/2001,21:00:00,R/V Longhorn,117,,5.33,-,,,,,,,,,,,,
2001-09-22,111-2001-09-22,244,F,111,73,DCS3900,Motorola,R/V Gyre,9/22/2001,,9/22/2001,18:00:00,4/17/2002,,4/17/2002,0:00:00,R/V Gyre,207,,3.83,-,,,,,,,,,,,,
2001-09-23,40018-2001-09-23,297,R,40018,20,DCS3900,Motorola,R/V Gyre,9/23/2001,,9/23/2001,0:00:00,1/23/2002,,1/23/2002,0:00:00,R/V Gyre,122,,3.43,-,,,,,,,,,,,,
2001-10-06,06-2001-10-06,308,T,System 6,1500,1500,Sat,R/V Pelican,10/6/2001,,10/6/2001,,1/30/2002,,1/30/2002,,Tommy Munroe,116,,,,,,,,,,,,,,,
2001-10-07,05-2001-10-07,311,U,System 5,,ADCP-1033,Sat,R/V Pelican,10/7/2001,,10/7/2001,,1/30/2002,,1/30/2002,,Tommy Munroe,115,,,,,,,,,,,,,,,
2001-11-27,01-2001-11-27,267,J,System 1,96,DCS3900,Sat,R/V Longhorn,11/27/2001,,11/27/2001,14:00:00,5/15/2002,,5/15/2002,0:00:00,R/V Longhorn,169,,5.48,-,,,,,,,,,,,,
2001-11-27,109-2001-11-27,321,W,109,31,DCS/31,Motorola,R/V Longhorn,11/27/2001,,11/27/2001,,5/15/2002,,5/15/2002,,R/V Longhorn,169,,,,,,,,,,,,,,,
2001-11-28,,,W,,,DCS3900R,,,11/28/2001,1:00:00,11/28/2001,1:00:00,1/8/2002,23:30:00,1/8/2002,23:30:00,,,3.37,3.37,Wireless_communication_of_data,Wireless_communication_of_data,28.3539,96,3.37,,Wireless_communication_of_data,,,,,,259
2001-12-11,50039-2001-12-11,224,D,50039,17,DCS-17,Motorola,R/V Longhorn,12/11/2001,,12/11/2001,21:00:00,5/15/2002,,5/15/2002,0:00:00,R/V Longhorn,155,,5.33,-,,,,,,,,,,,,
2002-01-22,07-2002-01-22,315,V,System 7,95,DCS095,Sat,R/V Gyre,1/22/2002,,1/22/2002,0:00:00,4/17/2002,,4/17/2002,0:00:00,missing,85,,4.75,-,,,,,,,,,,,,
2002-01-22,016-2002-01-22,282,N,System 16,94,DCS/094,Globalstar,R/V Gyre,1/22/2002,,1/22/2002,,7/12/2002,,7/12/2002,,R/V Gyre,171,,,,,,,,,,,,,,,
2002-01-23,02-2002-01-23,197,B,System 2,44,DCS094,Sat,R/V Gyre,1/23/2002,,1/23/2002,0:30:00,4/15/2002,,7/12/2002,0:00:00,R/V Gyre,82,,3.98,-,,,,,,,,,,,,
2002-01-23,80086-2002-01-23,295,R,80086,16,DCS/16,Motorola,R/V Gyre,1/23/2002,,1/23/2002,,7/13/2002,,7/13/2002,,R/V Gyre,171,,,,,,,,,,,,,,,
2002-01-24,,,B,,,DCS3900,,,1/24/2002,6:00:00,1/24/2002,6:00:00,4/15/2002,0:00:00,4/15/2002,0:00:00,,,4.23,4.23,-,-,28.98283,94.9162,4.23,,-,,,,,,34
2002-04-15,004-02-27-02,103,B,System 4,45,DCS3900,Globalstar,R/V Gyre,4/15/2002,,4/15/2002,0:00:00,7/14/2002,,7/14/2002,0:00:00,R/V Gyre,90,,4.23,-,,,,,,,,,,,,
2002-04-17,40016-03-21-02,40,F,40016,20,DCS3900,Motorola,R/V Gyre,4/17/2002,,4/17/2002,0:00:00,11/9/2002,,9/11/2002,0:00:00,R/V Gyre,206,,3.83,-,,,,,,,,,,,,
2002-04-17,015-04-12-02,141,V,System 15,70,DCS70,Globalstar,R/V Gyre,4/17/2002,,4/17/2002,0:00:00,1/29/2003,,1/29/2003,0:00:00,R/V Gyre,287,,4.75,-,,,,,,,,,,,,
2002-05-14,003-04-22-02,101,K,System 3,19,DCS/19,Globalstar,R/V Longhorn,5/14/2002,,5/14/2002,,8/2/2002,,8/2/2002,,missing,80,,,,,,,,,,,,,,,
2002-05-15,0111-05-03-02,8,W,111,73,DCS/73,Motorola,R/V Longhorn,5/15/2002,,5/15/2002,,7/26/2002,,7/26/2002,,R/V Longhorn,72,,,,,,,,,,,,,,,
2002-05-15,014-05-07-02,139,J,System 14,43,DCS/43,Globalstar,R/V Longhorn,5/15/2002,,5/15/2002,,9/12/2002,,9/12/2002,,R/V Longhorn,120,,,,,,,,,,,,,,,
2002-05-15,40014-04-19-02,23,D,40014,42,DCS-42,Motorola,R/V Longhorn,5/15/2002,,5/15/2002,0:00:00,11/21/2002,,11/21/2002,0:00:00,R/V Longhorn,190,,5.33,-,,,,,,,,,,,,
2002-07-12,006-06-26-02,114,N,System 6,109,DCS109,Globalstar,R/V Gyre,7/12/2002,,7/12/2002,0:00:00,7/25/2002,,7/25/2002,0:00:00,R/V Longhorn,13,,3.98,-,,,,,,,,,,,,
2002-07-13,0110-07-02-02,16,R,110,19,DCS/19,Motorola,R/V Gyre,7/13/2002,,7/13/2002,,11/10/2002,,11/10/2002,,R/V Gyre,120,,,,,,,,,,,,,,,
2002-07-14,002-05-29-02,93,B,System 2,110,DCS3900,Globalstar,R/V Gyre,7/14/2002,,7/14/2002,0:00:00,9/13/2002,,9/13/2002,0:00:00,R/V Longhorn,61,,4.23,-,,,,,,,,,,,,
2002-07-25,016-2002-07-25,281,N,System 16,94,DCS094,Globalstar,R/V Longhorn,7/25/2002,,7/25/2002,0:00:00,11/9/2002,,11/9/2002,0:00:00,R/V Gyre,107,,3.98,-,,,,,,,,,,,,
2002-07-26,80085-07-17-02,76,W,80085,173,DCS/173,Motorola,R/V Longhorn,7/26/2002,,7/26/2002,,10/25/2002,,10/25/2002,,R/V Longhorn,91,,,,,,,,,,,,,,,
2002-09-11,,,F,,,DCS3900,,,9/11/2002,0:00:00,9/11/2002,0:00:00,12/31/2002,0:00:00,12/31/2002,0:00:00,,,3.83,3.83,-,-,28.836,94.2355,3.83,,-,,,,,,119
2002-09-12,001-08-14-02,88,K,System 1,96,DCS/96,Globalstar,R/V Longhorn,9/12/2002,,9/12/2002,,1/30/2003,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,,,
2002-09-12,004-08-13-02,104,J,System 4,45,DCS/45,Globalstar,R/V Longhorn,9/12/2002,,9/12/2002,,1/30/2003,,1/30/2003,,R/V Gyre,140,,,,,,,,,,,,,,,
2002-09-13,02-2002-09-13,190,B,System 2,176,DCS176,Globalstar,R/V Longhorn,9/13/2002,,9/13/2002,0:00:00,1/29/2003,,1/29/2003,0:00:00,R/V Gyre,138,,4.23,Replaced_DCS_sensor_44_with_176,,,,,,,,,,,,
2002-11-07,40018-09-24-02,34,W,40018,178,DCS/178,Motorola,R/V Gyre,11/7/2002,,11/7/2002,,11/21/2002,,11/21/2002,,R/V Gyre,14,,,,,,,,,,,,,,,
2002-11-09,005-08-14-02,109,N,System 5,109,DCS109,Globalstar,R/V Gyre,11/9/2002,,11/9/2002,0:00:00,1/29/2003,,11/18/2002,14:00:00,R/V Gyre,81,,3.98,Data_ceases_after_11/18/2002,,,,,,,,,,,,
2002-11-09,50039-09-27-02,57,F,50039,17,DCS/17,Motorola,R/V Gyre,11/9/2002,,11/9/2002,,7/20/2003,,7/20/2003,,R/V Longhorn,253,,,,,,,,,,,,,,,
2002-11-10,80086-10-15-02,70,R,80086,16,DCS3900,Motorola,R/V Gyre,11/10/2002,,11/10/2002,0:00:00,7/19/2003,,7/21/2003,21:00:00,R/V Longhorn,251,,3.43,-,,,,,,,,,,,,
2002-11-21,0109-11-01-02,2,W,109,31,DCS/31,Motorola,R/V Longhorn,11/21/2002,,11/21/2002,,1/31/2003,,1/31/2003,,R/V Gyre,71,,,,,,,,,,,,,,,
2002-11-21,80085-11-15-02,77,D,80085,173,DCS-173,Motorola,R/V Longhorn,11/21/2002,,11/21/2002,0:00:00,1/31/2003,,1/31/2003,0:00:00,R/V Gyre,71,,5.33,-,,,,,,,,,,,,
2003-01-29,015-2003-02-19,319,V,System 15,70,DCS70,Globalstar,R/V Gyre,1/29/2003,,1/29/2003,0:00:00,7/14/2003,,7/14/2003,0:00:00,missing,166,,4.75,-,,,,,,,,,,,,
2003-01-29,016-12-12-02,142,N,System 16,94,DCS/094,Globalstar,R/V Gyre,1/29/2003,,1/29/2003,,10/27/2003,,10/27/2003,,R/V Gyre,271,,,,,,,,,,,,,,,
